question,response,price_chopper_zscore
Profession or job,Trade specialist (e.g., Carpenter, Plumber, Electrician, Pipefitter),-0.468
State of Residence,Louisiana,-0.472
Turkish (foreign languages spoken),Yes,-0.473
Worksite type,Collaborative work space/ shared workspace (e.g. WeWork, Knotel, TheWing, etc.),-0.473
1 year old,No,-0.475
Employment Status,Homemaker,-0.478
Polish (foreign languages spoken),Yes,-0.478
Moved house,Yes,-0.478
State of Residence,West Virginia,-0.479
Designated Market Area (DMA),Baton Rouge,-0.479
Profession or job,Enlisted,-0.482
Rabbit (Working animals owned in household),Yes,-0.483
Household size (2),5,-0.484
Household size (1),5.0,-0.484
Country of Birth,Korea, Republic of,-0.484
Bird (Working animals owned in household),Yes,-0.484
State of Residence,Virginia,-0.485
Relationship status,Other,-0.486
Served Active Duty,Yes, on active duty during the last 12 months, but not now,-0.488
NAICS Industry Code,Maintenance and Repair Services,-0.488
Job Title,CPA,-0.489
age,75.0,-0.492
Be made redundant at work,Yes,-0.497
Punjabi (foreign languages spoken),Yes,-0.497
Environment / recycling,No,-0.499
Birth Year,1978.0,-0.499
Annual Company Revenue,$501 Million to $1 Billion,-0.499
For health benefits,Yes,-0.501
To create something (Reasons for joining career field),No,-0.501
Years Disabled,10 or more,-0.504
Job Title,President/CEO/COO,-0.504
Tortoise or turtle (Working animals owned in household),Yes,-0.506
2nd Oldest Child Age,13,-0.509
Job Title,Account Manager/Account Director,-0.51
Not applicable - I do not have any grandchildren,No,-0.51
Designated Market Area (DMA),New York,-0.511
Birth Year,1989.0,-0.512
Not applicable - I never attended college,Yes,-0.512
Job Title,Product Manager,-0.512
Not Applicable – I do not currently work (Dream career qualities),No,-0.513
Race,Native American,-0.515
Profession or job,Management Consultant,-0.515
Country of Birth,Taiwan,-0.516
NAICS Industry Code,Arts, Entertainment, and Recreation,-0.516
Mathematics (Degree subject studied),Yes,-0.518
Living with a spouse or partner,No,-0.518
Gap year/Career break,Yes,-0.518
Country of Birth,Japan,-0.519
Profession or job,Retail or personal banker / loan officer,-0.52
Bird (Pets owned in household),Yes,-0.52
State of Residence,Colorado,-0.521
NAICS Industry Code,Government,-0.521
8 years old,Yes,-0.521
Not applicable - no children <18 in household,No,-0.521
Children under the age of 18,Yes,-0.521
Age (6-way) 18-24 / 25-34 / 35-44 / 45-54 / 55-64 / 65+,35-44,-0.523
Age (5-way) 18-24 / 25-34 / 35-44 / 45-54 / 55+,35-44,-0.523
Worksite type,None of these,-0.523
Annual Company Revenue,$500,000 to $999,999,-0.523
State of Residence,Mississippi,-0.524
Generation,Millennial (1982-1999),-0.525
Hamster (Animals (pets or working) owned in household),Yes,-0.525
Type of school/university currently working for,Public university,-0.525
Sunoco Markets 1,Detroit: Detroit–Warren–Livonia,-0.525
Birth of second or subsequent child (Life events in the past 12 months),Yes,-0.526
Oldest Child Age,7,-0.526
Profession or job,Sales person / Account Executive,-0.528
Profession or job,Financial or business analyst,-0.529
General shift hours,Evening shift (e.g. 5pm – 12am, or 7pm – 2am, etc.),-0.529
Designated Market Area (DMA),Buffalo,-0.529
Country of Birth,United Kingdom,-0.529
Job Title,Technician/Tech. Specialist,-0.53
Job Title,CFO/Controller/Treasurer,-0.53
Gerbil (Pets owned in household),Yes,-0.533
Birth Year,1943.0,-0.535
Teach me new skills,Yes,-0.535
3rd Oldest Child Age,12,-0.537
Oldest Child Age,10,-0.537
Have a child go to University,Yes,-0.537
Profession or job,Compensation or benefits professional,-0.539
Designated Market Area (DMA),Denver,-0.54
Country of Birth,Argentina,-0.541
Bought a car,No,-0.541
Country of Birth,Romania,-0.543
Fish (including outdoor) (Working animals owned in household),Yes,-0.545
Birth of grandchild,No,-0.545
5,Yes,-0.546
Gujarati,Yes,-0.547
Allow me to create things,Yes,-0.547
Company mobile phones,Yes,-0.551
Other (foreign languages spoken),Yes,-0.555
Employment Status,Student,-0.555
Designated Market Area (DMA),Nashville,-0.557
Access to garden,No, I do not have access to either my own nor a communal outdoor space,-0.559
Served Active Duty,Not active duty, but did training for Reserves or National Guard during the last 12 months,-0.559
Portuguese (foreign languages spoken),Yes,-0.559
Gerbil (Working animals owned in household),Yes,-0.559
Oldest Child Age,0,-0.559
Union membership household,Not sure,-0.56
Designated Market Area (DMA),Phoenix,-0.561
Kid 5 Gender,Male,-0.564
Made redundant from work,Yes,-0.565
Designated Market Area (DMA),Los Angeles,-0.567
The challenge,Yes,-0.57
Division,East South Central,-0.571
Bengali (foreign languages spoken),Yes,-0.571
Interaction with more people,Yes,-0.572
Job Title,Publisher/Producer,-0.572
Designated Market Area (DMA),Huntsville - Decatur - Florence,-0.572
Bird (Animals (pets or working) owned in household),Yes,-0.574
State of Residence,Nebraska,-0.574
Profession or job,Market researcher,-0.575
Distribution / logistics,Yes,-0.576
Rabbit (Pets owned in household),Yes,-0.577
Student Full or Part-time,Full-time,-0.58
Profession or job,Driver (e.g., truck, bus, taxi),-0.581
Level of government currently working for,Federal,-0.582
State of Residence,Arizona,-0.582
Oldest Child Age,9,-0.582
Country of Birth,Venezuela,-0.585
Profession or job,Writer or journalist,-0.587
Division,East North Central,-0.588
Race,Middle Eastern,-0.588
Country of Birth,China,-0.589
Hamster (Pets owned in household),Yes,-0.589
2nd Oldest Child Age,12,-0.589
Profession or job,Software Developer or Computer Programmer,-0.59
Company Size,101-500,-0.594
Worksite type,Other,-0.595
age,29.0,-0.596
age,22.0,-0.598
Birth Year,1938.0,-0.601
State of Residence,California,-0.601
Adopted a child,Yes,-0.601
Birth of second or subsequent child (Life events planned in the next 12 months),Yes,-0.601
age,40.0,-0.601
Country of Birth,Puerto Rico,-0.603
Designated Market Area (DMA),Minneapolis - Saint Paul,-0.603
Divorced/separated from long-term partner / Ended an intimate relationship,Yes,-0.605
Age (media) 18-34 / 35-49 / 50-64 / 65+,18-34,-0.607
Make a major home improvement,Yes,-0.607
Student Full or Part-time,Part-time,-0.61
Birth Year,1958.0,-0.61
Birth Year,1990.0,-0.612
Adopt a child,Yes,-0.612
State of Residence,Tennessee,-0.616
State of Residence,Minnesota,-0.622
Cat (Animals (pets or working) owned in household),No,-0.622
2nd Oldest Child Age,10,-0.625
Designated Market Area (DMA),Baltimore,-0.625
age,87.0,-0.625
Black,Yes,-0.626
Designated Market Area (DMA),Washington Dc,-0.627
Gender,Male,-0.631
Job Title,Assistant Director/Assistant Manager,-0.632
Birth of first child (Life events planned in the next 12 months),Yes,-0.633
Procurement / purchasing,No,-0.638
2nd Oldest Child Age,0,-0.642
Country of Birth,Russian Federation,-0.645
2nd Oldest Child Age,5,-0.646
Career change if it were possible,No,-0.646
Parent or guardian of child(ren) under 16 in full-time education,Yes,-0.654
Lizard (Animals (pets or working) owned in household),Yes,-0.655
Household size (2),4,-0.656
Household size (1),4.0,-0.656
Arabic (foreign languages spoken),Yes,-0.658
7 years old,No,-0.658
Hispanic,Yes,-0.658
Household size (2),8 or more,-0.659
None of these (Household type),Yes,-0.659
Graduated from University,Yes,-0.662
School type - currently attending,2-year college (community or junior college),-0.663
age,82.0,-0.665
State of Residence,Maryland,-0.666
Type of organization currently working for,Armed forces,-0.667
Frequency of using outdoor space,Don’t know,-0.667
Marketing / communications,Yes,-0.669
Do you speak Spanish,I speak Spanish primarily,-0.672
Graduate from University,Yes,-0.672
School type - currently attending,High school,-0.673
Marital Status,Separated,-0.674
Not applicable – I do not have any decision making involvement or influence in my organization,No,-0.675
7,Yes,-0.679
Job Title,General Manager,-0.679
Worksite type,Home office (i.e. work from home),-0.682
Urdu (foreign languages spoken),Yes,-0.682
Household - time since last moved,Less than 1 month,-0.683
Birth Year,1932.0,-0.685
To learn a new skill,Yes,-0.689
Better benefits (e.g. health, holiday allowances, child care),Yes,-0.69
2nd Oldest Child Age,1,-0.691
Gerbil (Animals (pets or working) owned in household),Yes,-0.692
Lizard (Pets owned in household),Yes,-0.694
Division,Pacific,-0.695
Kid 3 Gender,Male,-0.695
Country of Birth,Colombia,-0.695
Job Title,Director/Department Head,-0.696
Birth of first child (Life events in the past 12 months),Yes,-0.698
Country of Birth,India,-0.701
Birth Year,1995.0,-0.701
NAICS Industry Code,Media, Communications, and Digital Entertainment,-0.701
Profession or job,Food service waitstaff,-0.702
Garden size,Not Applicable - I do not have access to outdoor space,-0.709
Household size (1),7.0,-0.71
Household size (2),7,-0.71
Tortoise or turtle (Animals (pets or working) owned in household),Yes,-0.712
2nd Oldest Child Age,4,-0.712
10 years old,Yes,-0.712
Type of organization currently working for,Self-employed,-0.715
Oldest Child Age,14,-0.717
Dog (Working animals owned in household),Yes,-0.717
Job Title,Developer/Programmer,-0.721
Disability type,Mental condition,-0.725
Move in with partner,Yes,-0.726
Office management / equipment / stationery,No,-0.726
Birth Year,1986.0,-0.727
Frequency of using outdoor space,Not Applicable - I do not have access to outdoor space,-0.728
Type of Area Living In,Suburb,-0.728
Finish mortgage repayment,Yes,-0.728
Asian,Yes,-0.729
Company Size,11-50,-0.731
Division,South Atlantic,-0.731
Kid 2 Gender,Female,-0.734
IT,Yes,-0.735
NAICS Industry Code,Construction,-0.735
Job Title,Supervisor,-0.737
Social sciences (e.g., psychology, sociology, etc.),No,-0.737
Move abroad,Yes,-0.739
Birth Year,1980.0,-0.743
Worksite type,Remote office (i.e. office changes/ traveling),-0.746
age,74.0,-0.747
Profession or job,Police officer, corrections officer, or other law enforcement,-0.748
Cat (Working animals owned in household),Yes,-0.749
Tortoise or turtle (Pets owned in household),Yes,-0.75
Got engaged,Yes,-0.751
6,Yes,-0.752
Birth Year,1936.0,-0.753
Race,Black,-0.759
Physical sciences (e.g., chemistry, physics, etc.),Yes,-0.76
Finished mortgage repayment,Yes,-0.762
Source where most recent pet is from,Received it as a gift,-0.762
Birth Year,1987.0,-0.767
Level of management at employer,A head of your employer (e.g. Manager of US business),-0.768
14,Yes,-0.771
Annual Company Revenue,Less than $100,000,-0.771
0,No,-0.774
10 (Ages of children < 18 in household),Yes,-0.775
Country of Birth,Mexico,-0.776
Oldest Child Age,16,-0.777
To get out of the house,Yes,-0.779
Kid 4 Gender,Male,-0.78
Birth Year,1949.0,-0.78
Birth Year,1960.0,-0.781
Not applicable - I don't have any working animals,No,-0.782
3,Yes,-0.783
Region,West,-0.784
For personal growth,Yes,-0.787
Like or dislike job,Don’t Know,-0.787
Moved back into parental home,Yes,-0.792
6 years old,Yes,-0.792
16 years old,Yes,-0.792
New pet timeframe,Within the next 4 to 6 months,-0.794
None of these (Degree subject studied),Yes,-0.794
age,37.0,-0.796
Living with child(ren) who are below 18,Yes,-0.796
Other (Working animals owned in household),Yes,-0.802
Profession or job,Artist, graphic artist, visual design specialist,-0.803
Purchased first home,Yes,-0.803
To build an empire,Yes,-0.807
The money,Yes,-0.809
Country of Birth,Philippines,-0.819
Type of Area Living In,City,-0.821
Frequency of using outdoor space,About once a month,-0.822
Do you speak Spanish,I speak English primarily but can speak Spanish,-0.825
Mandarin/Cantonese,Yes,-0.83
Profession or job,Executive Assistant / Administrative Assistant,-0.833
To create something (Reasons for having a side job),Yes,-0.84
Get engaged,Yes,-0.844
Source where most recent pet is from,Breeder,-0.844
Oldest Child Age,3,-0.855
Don't know (mixed race),Yes,-0.856
age,35.0,-0.868
Sell and purchase a house/flat (i.e. in one transaction),Yes,-0.868
Birth Year,1972.0,-0.868
Profession or job,Sales support / Account Manager,-0.872
Birth Year,1977.0,-0.872
To discover something new,Yes,-0.883
age,38.0,-0.884
NAICS Industry Code,Personal Care and Services,-0.89
Moved abroad,Yes,-0.891
Not applicable - I can't speak any other languages other than English,No,-0.899
Engineering (Degree subject studied),Yes,-0.903
To give back (Reasons for having a side job),Yes,-0.905
Would switch careers if money was no object,Don’t know,-0.91
Annual Company Revenue,$101 Million to $500 Million,-0.911
Started University,Yes,-0.912
MSFT ITDMs and ITIs,You install, support or maintain either hardware or software.  You may make recommendations, but you do not have significant decision-making authority for your department concerning technology purchases,-0.916
Birth Year,1984.0,-0.92
Accounting (Degree subject studied),Yes,-0.921
Birth Year,1939.0,-0.922
Number of children under 18 in household,2.0,-0.93
Race,Hispanic,-0.934
Profession or job,Other IT professional,-0.94
Spanish (foreign languages spoken),Yes,-0.95
Moved out of parental home,Yes,-0.952
Start University,Yes,-0.954
Region,South,-0.957
None of the above (Life events in the past 12 months),No,-0.963
Finished School/College,Yes,-0.966
Company Size,10001+ employees,-0.971
Finance / accounting,No,-0.974
Kid 1 Gender,Male,-0.977
Level of management at employer,Head of a division, business unit, or large organization within your employer,-0.98
Age (6-way) 18-24 / 25-34 / 35-44 / 45-54 / 55-64 / 65+,25-34,-0.986
Age (5-way) 18-24 / 25-34 / 35-44 / 45-54 / 55+,25-34,-0.986
NAICS Industry Code,Engineering, Computer-Related Design, and Architecture,-0.989
Type school attending,Public,-0.99
Age (4-way) 18-29 / 30-44 / 45-64 / 65+,30-44,-0.991
Profession or job,Engineer,-0.997
Buy a car,Yes,-1.001
age,26.0,-1.002
Tamil (foreign languages spoken),No,-1.006
Birth Year,1992.0,-1.007
Fish (including outdoor) (Pets owned in household),No,-1.012
Start college or re-enrol in school,Yes,-1.022
White,No,-1.025
Took gap Year/career break,Yes,-1.025
17 years old,No,-1.026
16,No,-1.04
Garden size,Half to 1 tennis court (approximately 1,250 sq ft-2,500 sq ft),-1.041
To travel,Yes,-1.048
None of the above (Life events planned in the next 12 months),No,-1.058
Do you speak Spanish,I speak both Spanish and English equally,-1.058
age,34.0,-1.06
age,79.0,-1.061
Birth Year,1996.0,-1.065
Prefer not to answer (Life events planned in the next 12 months),Yes,-1.068
Purchase or sell a house/flat,Yes,-1.094
Other (Animals (pets or working) owned in household),No,-1.101
Career change if it were possible,Don’t know,-1.104
Closer to my family,Yes,-1.105
Move house,Yes,-1.11
Race,Asian,-1.116
age,31.0,-1.127
age,23.0,-1.144
Interaction with smarter people,No,-1.168
NAICS Industry Code,Real Estate, Rental, and Leasing,-1.177
Pregnant,Yes,-1.188
Prefer not to answer (Life events in the past 12 months),Yes,-1.197
Frequency of using outdoor space,Almost every day or more often,-1.213
Kid 2 Gender,Male,-1.219
Source where most recent pet is from,Found it,-1.22
Education (Degree subject studied),No,-1.227
age,44.0,-1.256
Household - time since last moved,3 to less than 5 years,-1.282
2 years old,No,-1.289
In the market for a new job,Not very likely,-1.324
Birth Year,1983.0,-1.371
age,58.0,-1.399
Birth Year,1974.0,-1.416
12 years old,Yes,-1.476
Move out of parental home,Yes,-1.717
Tagalog/Filipino,No,-1.955
Living with other adult family members, e.g., Grandparents, Cousins, etc.,No,-1.964
Lithuanian (foreign languages spoken),No,-2.073
